     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,PostSelectionSampler,5b4e802b1cddd80404e4f4acd1e33d3cbc552bbb7e92d5cfb097441c5ef4a73d,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         1,   0.001,PostSelectionSampler,cfce43d19c316cf0744f0b984ca6f98f1e76facdc1c65527e43e9910d8402e91,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         0,   0.000,PostSelectionSampler,a126582c5408a0d7704eb87ba7c30fa85456f6468de2fa0dbfa4c5b6c94630ad,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         1,   0.001,PostSelectionSampler,41175f95e7278ec937a40a024a7e236c688d4e4333d0d481c0a68b9d727419fc,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
     14609,         0,      2115,   0.010,PostSelectionSampler,f88ed30557d518eec7ddfcfbfdbf7745f7d33e39af0ef7dc69f77f720c8f855b,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
         1,         0,         0,   0.001,PostSelectionSampler,cfce43d19c316cf0744f0b984ca6f98f1e76facdc1c65527e43e9910d8402e91,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         0,   0.000,PostSelectionSampler,f88ed30557d518eec7ddfcfbfdbf7745f7d33e39af0ef7dc69f77f720c8f855b,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
         1,         0,         1,   0.001,PostSelectionSampler,982b9e33303faa9109987c8b9453091c61f8bb3aff6b7f8cb002205f823d003f,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
         1,         0,         0,   0.001,PostSelectionSampler,06b086ee5e3e7cf34434a106041d7bb8b6be34aff6692971561ce182a322e674,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         0,   0.001,PostSelectionSampler,5b4e802b1cddd80404e4f4acd1e33d3cbc552bbb7e92d5cfb097441c5ef4a73d,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         0,   0.001,PostSelectionSampler,a126582c5408a0d7704eb87ba7c30fa85456f6468de2fa0dbfa4c5b6c94630ad,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         0,   0.001,PostSelectionSampler,06b086ee5e3e7cf34434a106041d7bb8b6be34aff6692971561ce182a322e674,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         0,   0.001,PostSelectionSampler,a126582c5408a0d7704eb87ba7c30fa85456f6468de2fa0dbfa4c5b6c94630ad,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         0,   0.001,PostSelectionSampler,f88ed30557d518eec7ddfcfbfdbf7745f7d33e39af0ef7dc69f77f720c8f855b,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
         1,         0,         0,   0.000,PostSelectionSampler,de17905df5b9e20a63574fcaeae8462ce65a4fcbd503873c5a17aeb3e23259a1,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         0,   0.001,PostSelectionSampler,5b4e802b1cddd80404e4f4acd1e33d3cbc552bbb7e92d5cfb097441c5ef4a73d,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         0,   0.001,PostSelectionSampler,a126582c5408a0d7704eb87ba7c30fa85456f6468de2fa0dbfa4c5b6c94630ad,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         0,   0.001,PostSelectionSampler,99dbf6db4925636ff06e02d6dc2a088314a71776d00c701ae0037cc3a8b1f1f0,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         0,   0.001,PostSelectionSampler,06b086ee5e3e7cf34434a106041d7bb8b6be34aff6692971561ce182a322e674,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         1,   0.001,PostSelectionSampler,90e97de366ab10f04db8d592fe01f40ef81f6df8f2cd83e67952328a07aea434,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
         1,         0,         0,   0.001,PostSelectionSampler,f88ed30557d518eec7ddfcfbfdbf7745f7d33e39af0ef7dc69f77f720c8f855b,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
     13585,         0,       720,   0.010,PostSelectionSampler,a126582c5408a0d7704eb87ba7c30fa85456f6468de2fa0dbfa4c5b6c94630ad,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0001}",
         1,         0,         0,   0.001,PostSelectionSampler,5b4e802b1cddd80404e4f4acd1e33d3cbc552bbb7e92d5cfb097441c5ef4a73d,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0002}",
         1,         0,         0,   0.001,PostSelectionSampler,cfce43d19c316cf0744f0b984ca6f98f1e76facdc1c65527e43e9910d8402e91,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         0,   0.000,PostSelectionSampler,90e97de366ab10f04db8d592fe01f40ef81f6df8f2cd83e67952328a07aea434,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
         1,         0,         0,   0.001,PostSelectionSampler,99dbf6db4925636ff06e02d6dc2a088314a71776d00c701ae0037cc3a8b1f1f0,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
         1,         0,         1,   0.001,PostSelectionSampler,982b9e33303faa9109987c8b9453091c61f8bb3aff6b7f8cb002205f823d003f,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
         1,         0,         0,   0.001,PostSelectionSampler,02f1587dcea8c00a6d7c911b187b387d7533954b921f2d812db24226adc5a8ab,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
         1,         0,         0,   0.001,PostSelectionSampler,41175f95e7278ec937a40a024a7e236c688d4e4333d0d481c0a68b9d727419fc,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
