circuit,p,batch,shots,discards,errors,eval_time,accepted_shots,P,rate,dP,dp_log10,eval_hours
rotated_HXY_injection_double_ghz,0.001,19769785,2518452,1080874,1,13963624.362198353,1437578,6.956144292692292e-07,1.7518715506219487,6.956144292692292e-07,-6.1576314179185925,69818.12181099177
rotated_HXY_injection_double_ghz,0.002,27132190,3608910,2429432,6,16920947.233408213,1179478,5.086996111839305e-06,3.059751856329664,2.076757466254714e-06,-6.071689844697911,84604.73616704108
rotated_HXY_injection_double_ghz,0.004,27192443,3616344,3227888,11,13972595.287611008,388456,2.8317235414049467e-05,9.309533126016847,8.53796772441512e-06,-5.589341833846357,69862.97643805503
rotated_HXY_injection_double_ghz,0.006,8868120,1393362,1344149,4,4369974.160758495,49213,8.127933676061204e-05,28.31288480685995,4.063966838030602e-05,-4.692079840216632,21849.870803792477
rotated_HXY_injection_double_ghz,0.008,8887356,1395630,1379122,3,3914595.296095848,16508,0.0001817300702689605,84.54264598982327,0.00010492190498963395,-4.2176944602053785,19572.97648047924
unrotated_H_inj_double_correct,0.0005,17887383,5207238,1666818,0,57694249.25091767,3540420,0.0,1.4707966851390513,2.8245236440874246e-07,-6.54905478543333,288471.24625458836
unrotated_H_inj_double_correct,0.001,17979342,5223690,2805307,1,51443867.713778496,2418383,4.1349943329902666e-07,2.1599928547297926,4.1349943329902666e-07,-6.383525081311614,257219.33856889248
unrotated_H_inj_double_correct,0.002,18060763,5239332,4112009,2,44074903.454570055,1127323,1.7741144286065308e-06,4.647587248729956,1.254488343068575e-06,-6.052048367705088,220374.5172728503
unrotated_H_inj_double_correct,0.004,6274299,2100672,2002381,4,13898103.251231432,98291,4.0695485853231733e-05,21.371966914570002,2.0347742926615867e-05,-4.992513753546488,69490.51625615716
unrotated_H_inj_double_correct,0.006,23168113,3264606,3230931,4,18012621.869858503,33675,0.00011878247958426132,96.94449888641437,5.939123979213066e-05,-4.527307604395023,90063.10934929251
unrotated_H_inj_double_correct,0.008,6306916,2107728,2102911,3,10426520.791018963,4817,0.0006227942702927133,437.56030724518024,0.00035957043960325454,-3.682776646314434,52132.60395509482
