     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         0,       179,   0.012,PymatchingGapSampler,b5ef05b24abc92d86d9495c0b40efa77873b4d4896413cdea267f9f052052b98,"{""c"":""compiled-3q-multiplier-16-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.016}","{""C102"":1,""C107"":1,""C113"":2,""C116"":1,""C119"":1,""C123"":1,""C125"":1,""C126"":1,""C128"":3,""C130"":2,""C133"":1,""C135"":1,""C136"":1,""C138"":59,""C69"":1,""C73"":1,""C82"":3,""C83"":3,""C85"":1,""C87"":2,""C91"":1,""C92"":1,""C93"":1,""C98"":2,""C99"":2}"
       273,         0,       163,   0.019,PymatchingGapSampler,4a3d7bda5757f7bb69a442074b5181897af381a3b4dbe9ab72cc3997cc72a4c6,"{""c"":""compiled-3q-multiplier-12-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.012}","{""C100"":1,""C103"":2,""C104"":1,""C106"":2,""C108"":1,""C112"":1,""C113"":1,""C114"":1,""C115"":1,""C116"":1,""C118"":2,""C128"":1,""C129"":2,""C130"":2,""C131"":1,""C132"":2,""C133"":5,""C134"":1,""C137"":2,""C138"":1,""C139"":67,""C40"":1,""C64"":1,""C77"":1,""C79"":1,""C81"":2,""C85"":1,""C91"":1,""C93"":1,""C96"":1,""C97"":1,""C99"":1}"
       273,         0,       112,   0.018,PymatchingGapSampler,48745cbc9d131ede04aad5a664c79653032f86ac364eb54c884fc483279471f7,"{""c"":""compiled-3q-multiplier-2-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.002}","{""C100"":2,""C102"":1,""C105"":2,""C107"":2,""C108"":1,""C110"":1,""C116"":2,""C117"":1,""C118"":3,""C119"":1,""C120"":1,""C123"":1,""C124"":1,""C125"":1,""C127"":1,""C129"":1,""C132"":2,""C133"":3,""C134"":1,""C136"":1,""C137"":2,""C138"":3,""C139"":108,""C73"":1,""C77"":1,""C81"":1,""C83"":2,""C84"":3,""C87"":2,""C88"":1,""C89"":1,""C90"":1,""C91"":1,""C97"":2,""C98"":2,""C99"":1}"
      1024,         0,       653,   0.032,PymatchingGapSampler,b5ef05b24abc92d86d9495c0b40efa77873b4d4896413cdea267f9f052052b98,"{""c"":""compiled-3q-multiplier-16-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.016}","{""C101"":2,""C102"":4,""C103"":1,""C104"":1,""C105"":3,""C106"":1,""C107"":1,""C108"":4,""C109"":1,""C110"":2,""C111"":2,""C112"":2,""C113"":1,""C114"":1,""C115"":1,""C116"":7,""C117"":1,""C118"":3,""C120"":4,""C121"":3,""C123"":5,""C124"":1,""C125"":3,""C126"":1,""C128"":3,""C129"":1,""C130"":3,""C131"":1,""C132"":3,""C133"":2,""C134"":2,""C135"":3,""C138"":253,""C25"":1,""C59"":2,""C70"":1,""C72"":1,""C77"":2,""C81"":3,""C82"":2,""C83"":3,""C84"":1,""C85"":3,""C86"":1,""C87"":1,""C88"":1,""C90"":4,""C91"":1,""C92"":4,""C94"":2,""C96"":10,""C98"":1,""C99"":1}"
      1024,         0,       636,   0.027,PymatchingGapSampler,4a3d7bda5757f7bb69a442074b5181897af381a3b4dbe9ab72cc3997cc72a4c6,"{""c"":""compiled-3q-multiplier-12-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.012}","{""C100"":2,""C101"":2,""C102"":5,""C103"":2,""C105"":2,""C106"":4,""C107"":2,""C108"":3,""C109"":1,""C110"":1,""C111"":3,""C112"":3,""C114"":5,""C115"":2,""C117"":4,""C118"":1,""C119"":2,""C120"":2,""C121"":3,""C122"":3,""C124"":1,""C125"":2,""C126"":2,""C128"":1,""C130"":3,""C131"":3,""C132"":1,""C133"":3,""C134"":5,""C135"":2,""C136"":6,""C137"":2,""C138"":3,""C139"":261,""C30"":1,""C62"":1,""C67"":1,""C71"":1,""C75"":1,""C79"":1,""C83"":4,""C85"":2,""C86"":3,""C87"":1,""C88"":3,""C89"":1,""C90"":3,""C91"":1,""C92"":2,""C93"":4,""C94"":1,""C95"":1,""C96"":4,""C97"":1,""C98"":1,""C99"":3}"
       273,         0,       137,   0.015,PymatchingGapSampler,fa07acd832628ab615a7950e66d49f62ecef29ab8105ac4c978b008bb87ecdec,"{""c"":""compiled-3q-multiplier-3-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.003}","{""C102"":2,""C103"":2,""C105"":1,""C108"":2,""C110"":2,""C111"":1,""C113"":2,""C116"":2,""C117"":1,""C119"":1,""C120"":1,""C123"":1,""C128"":1,""C130"":1,""C131"":1,""C132"":1,""C133"":1,""C136"":1,""C138"":1,""C139"":97,""C72"":1,""C80"":1,""C83"":2,""C87"":1,""C88"":1,""C89"":2,""C93"":1,""C95"":2,""C96"":1,""C98"":1,""C99"":1}"
       273,         0,       115,   0.013,PymatchingGapSampler,3b6c05e615564709dbfa395808f2e19641a9b1a0d8cff5bf6b0c54daa36894dc,"{""c"":""compiled-3q-multiplier-1-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.001}","{""C100"":3,""C103"":2,""C106"":2,""C107"":1,""C108"":2,""C111"":2,""C112"":1,""C114"":2,""C115"":1,""C117"":5,""C118"":2,""C124"":1,""C128"":1,""C129"":1,""C130"":1,""C135"":1,""C136"":2,""C138"":1,""C139"":108,""C53"":2,""C68"":1,""C73"":1,""C83"":6,""C84"":2,""C87"":2,""C88"":1,""C90"":1,""C91"":1,""C95"":1,""C98"":1}"
      1024,         0,       454,   0.042,PymatchingGapSampler,48745cbc9d131ede04aad5a664c79653032f86ac364eb54c884fc483279471f7,"{""c"":""compiled-3q-multiplier-2-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.002}","{""C100"":4,""C101"":1,""C102"":5,""C103"":7,""C104"":2,""C105"":1,""C106"":3,""C107"":8,""C109"":1,""C110"":2,""C111"":1,""C112"":2,""C113"":3,""C114"":5,""C116"":7,""C117"":3,""C118"":5,""C119"":3,""C120"":4,""C121"":4,""C122"":4,""C123"":4,""C124"":3,""C125"":2,""C126"":5,""C127"":3,""C128"":3,""C129"":7,""C130"":5,""C131"":2,""C132"":7,""C133"":5,""C134"":4,""C135"":2,""C136"":8,""C137"":1,""C138"":4,""C139"":347,""C30"":1,""C34"":1,""C37"":1,""C58"":1,""C61"":2,""C62"":1,""C65"":1,""C67"":1,""C68"":2,""C75"":1,""C76"":1,""C78"":1,""C79"":2,""C80"":2,""C81"":1,""C83"":3,""C84"":4,""C86"":2,""C87"":5,""C88"":4,""C89"":1,""C90"":10,""C91"":4,""C92"":1,""C93"":5,""C94"":6,""C95"":3,""C96"":5,""C97"":2,""C98"":4,""C99"":5}"
      1024,         0,       630,   0.028,PymatchingGapSampler,4a3d7bda5757f7bb69a442074b5181897af381a3b4dbe9ab72cc3997cc72a4c6,"{""c"":""compiled-3q-multiplier-12-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.012}","{""C100"":2,""C101"":1,""C102"":3,""C103"":4,""C105"":2,""C106"":6,""C107"":5,""C108"":4,""C109"":2,""C111"":2,""C112"":1,""C113"":3,""C114"":5,""C116"":3,""C117"":5,""C118"":1,""C120"":2,""C121"":2,""C122"":1,""C123"":1,""C124"":1,""C125"":3,""C126"":3,""C128"":3,""C129"":5,""C130"":9,""C131"":4,""C133"":3,""C134"":8,""C135"":1,""C136"":3,""C137"":3,""C138"":6,""C139"":241,""C22"":1,""C55"":1,""C74"":1,""C77"":1,""C78"":3,""C79"":1,""C81"":1,""C82"":1,""C83"":5,""C84"":2,""C85"":1,""C86"":2,""C87"":2,""C88"":2,""C89"":1,""C90"":1,""C91"":1,""C92"":1,""C93"":6,""C95"":4,""C96"":2,""C97"":2,""C98"":1,""C99"":3}"
      1024,         0,       677,   0.037,PymatchingGapSampler,b5ef05b24abc92d86d9495c0b40efa77873b4d4896413cdea267f9f052052b98,"{""c"":""compiled-3q-multiplier-16-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.016}","{""C100"":1,""C101"":1,""C102"":5,""C103"":3,""C105"":3,""C106"":1,""C107"":1,""C108"":5,""C110"":1,""C111"":4,""C112"":1,""C113"":2,""C115"":3,""C116"":4,""C117"":3,""C118"":3,""C119"":1,""C120"":3,""C121"":1,""C123"":1,""C125"":7,""C126"":2,""C128"":4,""C129"":4,""C130"":3,""C131"":3,""C132"":2,""C133"":1,""C134"":4,""C135"":3,""C136"":1,""C137"":2,""C138"":224,""C30"":2,""C47"":1,""C59"":1,""C66"":1,""C72"":1,""C74"":1,""C76"":1,""C77"":1,""C79"":1,""C81"":1,""C83"":3,""C84"":3,""C85"":1,""C86"":4,""C87"":3,""C88"":1,""C90"":4,""C91"":1,""C92"":2,""C94"":1,""C96"":4,""C99"":2}"
